"","animals_name","number_of_pets","name_length"
"6404","Kokomis",1,7
"6405","Kokomo",1,6
"6406","Kokua",1,5
"6407","Kola",3,4
"6408","Kolach",1,6
"6409","Kolby",1,5
"6410","Kolchak",1,7
"6411","Kole",1,4
"6412","Kolea",1,5
"6413","Kolgrima",1,8
"6414","Kolie",1,5
"6415","Koloa",1,5
"6416","Komatsu",1,7
"6417","Komet",1,5
"6418","Komodo",1,6
"6419","Kona",102,4
"6420","Kona Bean",1,9
"6421","Kona Blue",1,9
"6422","Kona Kitazumi",1,13
"6423","Kona Moku",1,9
"6424","Konbu",1,5
"6425","Kong",2,4
"6426","Konnichiwa",1,10
"6427","Konstantine",1,11
"6428","Koo",1,3
"6429","Kooh i Noor",1,11
"6430","Koopa",1,5
"6431","Kooper",1,6
"6432","Koos Emek",1,9
"6433","Kooter",1,6
"6434","Kooza",1,5
"6435","Koozie",1,6
"6436","Kopur",1,5
"6437","Kora",5,4
"6438","Korben",4,6
"6439","Korbin",1,6
"6440","Kori Girl",1,9
"6441","Koro",1,4
"6442","Korra",9,5
"6443","Koshi",1,5
"6444","Koshka",5,6
"6445","Kosmo",1,5
"6446","Kostya",1,6
"6447","Kot Begemot",1,11
"6448","Kota",7,4
"6449","Kotaro",1,6
"6450","Kotee",1,5
"6451","Koto",2,4
"6452","Kotu",1,4
"6453","Koufax",1,6
"6454","Koushki",1,7
"6455","Kova",1,4
"6456","Kovu",1,4
"6457","Koya",1,4
"6458","Kozmo",3,5
"6459","Kraig",1,5
"6460","Kramer",4,6
"6461","Kratos",2,6
"6462","Kreature",1,8
"6463","Krebs",1,5
"6464","Kricket",1,7
"6465","Kriegel",1,7
"6466","Kringle",1,7
"6467","Krissy",1,6
"6468","Kristy",2,6
"6469","Kronk",2,5
"6470","Kronos",1,6
"6471","Kruz",1,4
"6472","Krypto",1,6
"6473","Krypton",1,7
"6474","KT",1,2
"6475","Kuba Lee",1,8
"6476","Kubla",1,5
"6477","Kubo",2,4
"6478","Kucci",1,5
"6479","Kucha",1,5
"6480","Kudo",4,4
"6481","Kudra",1,5
"6482","Kuini",1,5
"6483","Kuini Castel-Rongcal",1,20
"6484","Kuja",1,4
"6485","Kujo",1,4
"6486","Kukla",1,5
"6487","Kukui",1,5
"6488","Kula",1,4
"6489","Kulia",1,5
"6490","Kulta",1,5
"6491","Kuma",37,4
"6492","Kumi",1,4
"6493","Kumoja",1,6
"6494","Kumquat",1,7
"6495","Kuna",3,4
"6496","Kundlaan",1,8
"6497","Kuni",1,4
"6498","Kuno",1,4
"6499","Kunta",1,5
"6500","Kunu & Tug",1,10
"6501","Kupcake",1,7
"6502","Kuper",1,5
"6503","Kupo",2,4
"6504","Kura",1,4
"6505","Kurdt",1,5
"6506","Kuri",2,4
"6507","Kuro",10,4
"6508","Kurocho",1,7
"6509","Kuromame",1,8
"6510","Kurt",1,4
"6511","Kurtie",1,6
"6512","Kusanku",1,7
"6513","Kush",1,4
"6514","Kushinda",1,8
"6515","Kushka",1,6
"6516","Kusi",1,4
"6517","Kutching",1,8
"6518","Kuulei",1,6
"6519","Kuya",1,4
"6520","Kuzi",1,4
"6521","Kwai",1,4
"6522","Ky",2,2
"6523","Kya",1,3
"6524","Kyburz",1,6
"6525","Kygo",1,4
"6526","Kyla",1,4
"6527","Kyle",9,4
"6528","KYLE",1,4
"6529","Kylee",2,5
"6530","Kylie",10,5
"6531","Kylo",7,4
"6532","Kylo Yuan",1,9
"6533","Kyma",1,4
"6534","Kyno",1,4
"6535","Kyoko",1,5
"6536","Kyoshi",2,6
"6537","Kyoto",1,5
"6538","Kyou",1,4
"6539","Kyper",1,5
"6540","Kyra",3,4
"6541","Kyran",2,5
"6542","Kyriaki",1,7
"6543","Kyuss",1,5
"6544","L.B.",1,4
"6545","L.J.",1,4
"6546","La Puma",1,7
"6547","La Vie",1,6
"6548","La-La",1,5
"6549","La'imi",1,6
"6550","Lab",1,3
"6551","Labowski",1,8
"6552","Lacey",18,5
"6553","Lacey Jones",1,11
"6554","Lacey-Lou",1,9
"6555","Laci",3,4
"6556","Lacy",3,4
"6557","Ladd",1,4
"6558","Ladd Hill's Hazel",1,17
"6559","Laddie",3,6
"6560","Laddo",1,5
"6561","Lady",43,4
"6562","Lady Annabeth",1,13
"6563","Lady Autumn Morse",1,17
"6564","Lady B",1,6
"6565","Lady Bird",2,9
"6566","Lady Bird (Birdie)",1,18
"6567","Lady Blue",1,9
"6568","Lady Bug",2,8
"6569","Lady Byrd",1,9
"6570","Lady Catherine",1,14
"6571","Lady Chat",1,9
"6572","Lady Diana",1,10
"6573","Lady G Lolo Paloma MacGuffie Hunter",1,35
"6574","Lady Girl",1,9
"6575","Lady Gwenivere",1,14
"6576","Lady III",1,8
"6577","Lady Isabella Byrd",1,18
"6578","Lady Jackson",1,12
"6579","Lady Kassandra Yu Countess of Wallingford KBE",1,45
"6580","Lady Long Legs",1,14
"6581","Lady Mari",1,9
"6582","Lady Morrow",1,11
"6583","Lady Natasha Of Kafaisden Manor",1,31
"6584","Lady Romega",1,11
"6585","Lady Snoops",1,11
"6586","Lady Tik",1,8
"6587","Lady Zuzu",1,9
"6588","Ladybird",2,8
"6589","Ladybird ""Birdie""",1,17
"6590","Ladybug",7,7
"6591","LadyBug",1,7
"6592","Ladyfinger",1,10
"6593","Lafayette",1,9
"6594","Lagertha",1,8
"6595","Lagoona",1,7
"6596","Lai",1,3
"6597","LAICA",1,5
"6598","Laika",11,5
"6599","Laila",6,5
"6600","Laila Tov",1,9
"6601","Lailah",1,6
"6602","Lainey",2,6
"6603","Lairee",1,6
"6604","Lake Valley's Tuffy Cowpuncher",1,30
"6605","Laker",1,5
"6606","Lakey",1,5
"6607","Laki",1,4
"6608","Lakka",1,5
"6609","Lakkhi",1,6
"6610","Lakota",1,6
"6611","Lakshmi",2,7
"6612","Laksmi",1,6
"6613","Lala",3,4
"6614","Lali",1,4
"6615","Lalla",1,5
"6616","Lalo",1,4
"6617","Lama",1,4
"6618","Lamar",2,5
"6619","Lambert",3,7
"6620","Lambie",1,6
"6621","Lame",1,4
"6622","Lamp",1,4
"6623","Lana",10,4
"6624","Lana Porter",1,11
"6625","Lana Sizzurp",1,12
"6626","Lance",3,5
"6627","Lance(lot)",1,10
"6628","Lancelot",1,8
"6629","Lando",9,5
"6630","Laney",1,5
"6631","Lang Lang",1,9
"6632","Langford",1,8
"6633","Langi",1,5
"6634","Langley",2,7
"6635","Lango",2,5
"6636","Langston",1,8
"6637","Langston The Dog",1,16
"6638","Lani",3,4
"6639","Lanikai",1,7
"6640","Lannan",1,6
"6641","Lannie",1,6
"6642","Laoghaire",1,9
"6643","Lapis",1,5
"6644","Lara",1,4
"6645","Lares",1,5
"6646","Lark",1,4
"6647","Larka",1,5
"6648","Larkin",1,6
"6649","Larkspur",2,8
"6650","LaRose",1,6
"6651","Larry",18,5
"6652","Lars",4,4
"6653","Larson",2,6
"6654","LaRue",1,5
"6655","Larva",1,5
"6656","Larz",1,4
"6657","Laslo",1,5
"6658","Lassen",1,6
"6659","Laszlo",2,6
"6660","Laszlo Lev",1,10
"6661","Latisha",1,7
"6662","Latka",1,5
"6663","Latke",2,5
"6664","Latte",8,5
"6665","Latté Frise Blanche Shapiro",1,27
"6666","Lattie",1,6
"6667","Laura",2,5
"6668","Laura Jean",1,10
"6669","Laurel",2,6
"6670","Lauren",1,6
"6671","Lauren Santucci",1,15
"6672","Laurie",2,6
"6673","Lavendar",1,8
"6674","Lavender",3,8
"6675","Laverne",5,7
"6676","Lavie",1,5
"6677","Lawna",1,5
"6678","Lawrence",2,8
"6679","Lawrence Otto",1,13
"6680","Laya",1,4
"6681","Layla",33,5
"6682","Layla Green",1,11
"6683","Layne",1,5
"6684","Lazer",1,5
"6685","Lazlo",4,5
"6686","Lazy Bones",1,10
"6687","Lazzlo",1,6
"6688","Lbj",1,3
"6689","Lc",1,2
"6690","Le Mops",1,7
"6691","Lea",2,3
"6692","Leaf",1,4
"6693","Leah",6,4
"6694","Leala",1,5
"6695","Leander",1,7
"6696","Leandre",1,7
"6697","Lebowski",1,8
"6698","LeBron",1,6
"6699","Lebron aka Wilddog",1,18
"6700","Leda",1,4
"6701","Lee",2,3
"6702","Lee Loo",2,7
"6703","Lee Roy",1,7
"6704","Leela",17,5
"6705","Leela Chertova",1,14
"6706","Leelo",1,5
"6707","Leeloo",11,6
"6708","LeeLoo",4,6
"6709","Leeloo Blue Thunder Constanstine",1,32
"6710","Leeloo Dallas",2,13
"6711","Leelu",3,5
"6712","Leena",1,5
"6713","Leeroy Jenkins",2,14
"6714","Lefty",10,5
"6715","Legacy",1,6
"6716","Legends of Olde Sir Walter The Lady Killer",1,42
"6717","Lego",4,4
"6718","Legolas",1,7
"6719","Lehua",1,5
"6720","Leia",26,4
"6721","Leif",2,4
"6722","Leigh",1,5
"6723","Leika",1,5
"6724","Leila",10,5
"6725","Leila Bourlier",1,14
"6726","Leilani",1,7
"6727","Leilei",1,6
"6728","Leisl",1,5
"6729","Lek",1,3
"6730","Lelah",1,5
"6731","Leland",2,6
"6732","LeLee",1,5
"6733","Lellow",1,6
"6734","Lema",1,4
"6735","Lemieux",1,7
"6736","Lemmy",1,5
"6737","Lemmy Lucile",1,12
"6738","Lemon",9,5
"6739","Lemon Truffle",1,13
"6740","Lemony",1,6
"6741","Lemur",1,5
"6742","Lena",12,4
"6743","Lenah",1,5
"6744","Lenie",1,5
"6745","Lenin",2,5
"6746","Lennie",4,6
"6747","Lennon",1,6
"6748","Lennox",3,6
"6749","Lenny",21,5
"6750","Lenny Niffler",1,13
"6751","Lenore",1,6
"6752","Lentil",1,6
"6753","Leny",1,4
"6754","Leo",150,3
"6755","Leo S. Lamont",1,13
"6756","Leo Spaceman",1,12
"6757","Leoa",1,4
"6758","Leon",12,4
"6759","Léon",1,4
"6760","Leona",1,5
"6761","Leona Mae Alcott Helmsley Cole",1,30
"6762","Leonard",9,7
"6763","Leonard ""Leo""",1,13
"6764","Leonardo",10,8
"6765","Leonardo DiCatprio",1,18
"6766","Leonardo Jino Kirr",1,18
"6767","Leondray",1,8
"6768","Leonidas",3,8
"6769","Leono",1,5
"6770","Leonora",1,7
"6771","Leopold",6,7
"6772","Lepri",1,5
"6773","Leroy",18,5
"6774","LeRoy",2,5
"6775","Leslie",1,6
"6776","Lester",3,6
"6777","Leto",3,4
"6778","Letti",1,5
"6779","Lettie",2,6
"6780","Lettie Pickles",1,14
"6781","Lettuce",1,7
"6782","Letty Mason",1,11
"6783","Levi",29,4
"6784","Levi Maxwell",1,12
"6785","Leviathan",1,9
"6786","Levon Helm",1,10
"6787","Lewis",19,5
"6788","Lewis Black",1,11
"6789","Lewis James",1,11
"6790","Lewis Jr.",1,9
"6791","Lex",2,3
"6792","Lexa",1,4
"6793","Lexi",41,4
"6794","Lexi Aine",1,9
"6795","Lexie",16,5
"6796","Lexie Lucile",1,12
"6797","Lexilu",1,6
"6798","Lexington",2,9
"6799","Lexis",1,5
"6800","Lexus",1,5
"6801","Lexy",6,4
"6802","Leyla",2,5
"6803","Lhasa",2,5
"6804","Lhotse",2,6
"6805","Lia",7,3
"6806","Liam",8,4
"6807","Liam Neeson",1,11
"6808","Libbe",1,5
"6809","Libby",29,5
"6810","Libby Montana",1,13
"6811","Libby-Lu",1,8
"6812","Liberty",9,7
"6813","Liberty (Libby)",1,15
"6814","Liberty Bell",1,12
"6815","Liberty Rose",1,12
"6816","Libra",1,5
"6817","Liby",1,4
"6818","Licky",1,5
"6819","Licorice",5,8
"6820","Liddy",1,5
"6821","Lidia",1,5
"6822","Lido",1,4
"6823","Liela",1,5
"6824","Liesel",3,6
"6825","Liesl",2,5
"6826","Lieutenant Dan",1,14
"6827","Liffey",1,6
"6828","Lifu",1,4
"6829","Light",1,5
"6830","Lightening",2,10
"6831","Lightning",4,9
"6832","Liko",1,4
"6833","Lil",3,3
"6834","Lil Bill",1,8
"6835","Lil Bit",2,7
"6836","Lil Dawg",1,8
"6837","Lil Dude",2,8
"6838","Lil Fella",1,9
"6839","Lil Honey",1,9
"6840","Lil Mama",1,8
"6841","Lil Mau",1,7
"6842","Lil Ricky",1,9
"6843","Lil Sis",1,7
"6844","Lil' Bit",2,8
"6845","Lil' Sebastian",1,14
"6846","Lil' Wayne",1,10
"6847","Lila",16,4
"6848","Lila Belle",1,10
"6849","Lila Kuh",1,8
"6850","Lilac",2,5
"6851","Lilah",5,5
"6852","lile girl",1,9
"6853","Lilfrankie",1,10
"6854","Lili",11,4
"6855","Lili Atsuko",1,11
"6856","Lili Bean",1,9
"6857","Lili Marleen",1,12
"6858","Lilian Rose",1,11
"6859","Liliana",2,7
"6860","Lilibet",1,7
"6861","Lilikoi",1,7
"6862","Liliquoi",1,8
"6863","Lilith",6,6
"6864","Lilith Lightning",1,16
"6865","Lilla",1,5
"6866","Lilla i",1,7
"6867","Lilla Madame",1,12
"6868","Lille Von",1,9
"6869","Lilli",2,5
"6870","Lilli girl",1,10
"6871","Lillian",3,7
"6872","Lillie",5,6
"6873","LILLIE",1,6
"6874","LillieBelle",1,11
"6875","Lillith",1,7
"6876","Lilly",92,5
"6877","LIlly",1,5
"6878","Lilly Bean Strom",1,16
"6879","Lilly Lu",1,8
"6880","Lilly Mae",1,9
"6881","Lilly McKagan",1,13
"6882","Lilly Pad",1,9
"6883","Lillyann",1,8
"6884","Lilo",10,4
"6885","Liloca",1,6
"6886","Lilu",1,4
"6887","Lily",232,4
"6888","Lily Ann",1,8
"6889","Lily Anne",1,9
"6890","Lily Bean",2,9
"6891","Lily Bell",1,9
"6892","Lily Belle",1,10
"6893","Lily Cat",1,8
"6894","Lily Charming",1,13
"6895","Lily Drow",1,9
"6896","Lily Gilfoy",1,11
"6897","Lily Gloria",1,11
"6898","Lily Koppelman",1,14
"6899","Lily May",1,8
"6900","Lily Meow",1,9
"6901","Lily Pepper Rivard",1,18
"6902","Lily Pie",1,8
"6903","Lilyana",1,7
"6904","Lilykin Skywalker",1,17
"6905","LilyMae",1,7
"6906","Lima",1,4
"6907","Lime",1,4
"6908","Lina",5,4
"6909","Lincoln",17,7
"6910","Lincoln Kennedy",1,15
"6911","Linda",6,5
"6912","Lindsey",1,7
"6913","Lindy",7,5
"6914","Ling",1,4
"6915","Ling Chao",1,9
"6916","Ling Ling",4,9
"6917","Lingonberry",1,11
"6918","Linguine",1,8
"6919","Linguini",1,8
"6920","Link",18,4
"6921","Linka",1,5
"6922","Linkin",1,6
"6923","Linky",1,5
"6924","Linny",1,5
"6925","Linq",1,4
"6926","Linus",23,5
"6927","Linus Berger",1,12
"6928","Linus Pawling",1,13
"6929","Linux",1,5
"6930","Lion",1,4
"6931","Lionel",4,6
"6932","Lionel Rodriguez",1,16
"6933","Liono",1,5
"6934","Lirael",1,6
"6935","Lisa",5,4
"6936","Lisa Marie",1,10
"6937","Lisel",1,5
"6938","Lisette",2,7
"6939","Lisha",2,5
"6940","Lita",3,4
"6941","Litli",1,5
"6942","Lito",1,4
"6943","Little",4,6
"6944","Little Ann",1,10
"6945","Little Baby",1,11
"6946","Little Bear",7,11
"6947","Little Bit",8,10
"6948","Little Boss",1,11
"6949","Little Brother",2,14
"6950","Little Buddy",1,12
"6951","Little Bug",1,10
"6952","Little C",1,8
"6953","Little Diesel",1,13
"6954","Little dog",1,10
"6955","Little Dog",1,10
"6956","Little Edie",1,11
"6957","Little Foot",1,11
"6958","Little Girl",1,11
"6959","Little Girl Blu",1,15
"6960","Little Gray",1,11
"6961","Little Gray Uresai",1,18
"6962","Little Grey",1,11
"6963","Little Guy",2,10
"6964","LIttle Guy",1,10
"6965","Little Hayden",1,13
"6966","Little Kitty",2,12
"6967","Little Mama",1,11
"6968","Little Man",3,10
"6969","Little Manx",1,11
"6970","Little Marie",1,12
"6971","Little Marsh",1,12
"6972","Little Miss Dublin Maeve of the Emerald Isle",1,44
"6973","Little Miss Sunshine",1,20
"6974","Little Missy",1,12
"6975","Little Moo",1,10
"6976","Little Moo Cow",1,14
"6977","Little My",1,9
"6978","Little One",4,10
"6979","Little T",1,8
"6980","Littlefoot",2,10
"6981","Livia",2,5
"6982","Livingston",1,10
"6983","Livvie",2,6
"6984","Livy",1,4
"6985","Liz",2,3
"6986","Liz Lemon",2,9
"6987","Liza",4,4
"6988","Liza Lou",1,8
"6989","Liza with a Z",1,13
"6990","Liza/Minion",1,11
"6991","Lizette",1,7
"6992","Lizzi",1,5
"6993","Lizzie",24,6
"6994","Lizzie Lou",1,10
"6995","Lizzy",14,5
"6996","Lj",1,2
"6997","Lliam Maximus Joyous",1,20
"6998","Llily",1,5
"6999","Llorona",1,7
"7000","LLou",1,4
"7001","Lloyd",4,5
"7002","Lo",3,2
"7003","Loa",1,3
"7004","Loafy",1,5
"7005","Loba",3,4
"7006","Loblolly",1,8
"7007","Lobo",5,4
"7008","Loby",1,4
"7009","Loca",2,4
"7010","Locke",1,5
"7011","Locker",1,6
"7012","Lockett",1,7
"7013","Loco",4,4
"7014","Lodi",1,4
"7015","Lofa",1,4
"7016","Logan",20,5
"7017","Logan P. Whybark",1,16
"7018","Logo",1,4
"7019","Lois",2,4
"7020","Loka",1,4
"7021","Loki",115,4
"7022","Loki Balboa",1,11
"7023","Loki Max",1,8
"7024","Loki Maximus",1,12
"7025","Loki Onggabean",1,14
"7026","Loki Thompson",1,13
"7027","Loki Von Busch",1,14
"7028","Lokka",1,5
"7029","Lokys",1,5
"7030","Lola",225,4
"7031","LOLA",1,4
"7032","Lola Boast",1,10
"7033","Lola Dockery",1,12
"7034","Lola Hawkins",1,12
"7035","Lola June",1,9
"7036","Lola Laukkanen",1,14
"7037","Lola Lohrer",1,11
"7038","Lola Mae",1,8
"7039","Lola Misaki Ein",1,15
"7040","Lolipop",1,7
"7041","Lolita",5,6
"7042","Lolla",1,5
"7043","Lollie",2,6
"7044","Lollipop",2,8
"7045","Lolly",10,5
"7046","Lollypop",1,8
"7047","Lollys",1,6
"7048","Lolo",5,4
"7049","Lomi",1,4
"7050","Lona",2,4
"7051","London",3,6
"7052","Londonderry Donegal",1,19
"7053","Lone Ranger",1,11
"7054","Long Fellow",1,11
"7055","Longmeier",1,9
"7056","Loni",1,4
"7057","Loo",1,3
"7058","Loo Loo",1,7
"7059","Loochie",1,7
"7060","Looey",1,5
"7061","Loomis",2,6
"7062","Loop",1,4
"7063","Loopa",1,5
"7064","Loosie",1,6
"7065","Loowit",1,6
"7066","Loper",1,5
"7067","Lopez",4,5
"7068","Lopo",1,4
"7069","Lorcan",1,6
"7070","Lord",1,4
"7071","Lord Earl Gravy",1,15
"7072","Lord Montague Of Kafaisden Manor",1,32
"7073","Lord Wubberton III",1,18
"7074","Lord Wyndemere",1,14
"7075","Lorelai",1,7
"7076","Lorelei",4,7
"7077","Lorenza",1,7
"7078","Lorenzo",4,7
"7079","Loretta",2,7
"7080","Lorimer",1,7
"7081","Loriot",1,6
"7082","Lorraine",1,8
"7083","Los Osos Callie",1,15
"7084","Lotsa",1,5
"7085","Lotte",1,5
"7086","Lottie",7,6
"7087","Lottie Da",1,9
"7088","Lotus",1,5
"7089","Lotus Birdie Snufflepupagus Underfoot",1,37
"7090","Lotus Otis",1,10
"7091","Lou",10,3
"7092","Lou Furingno",1,12
"7093","Lou Lou",3,7
"7094","Lou Pinella",1,11
"7095","Lou-Lou",1,7
"7096","Louella",2,7
"7097","Louie",101,5
"7098","Louie Lane",1,10
"7099","Louie Louie",1,11
"7100","Louie Savage",1,12
"7101","lOUIS",1,5
"7102","Louis",29,5
"7103","Louis Jadot",1,11
"7104","Louis V",1,7
"7105","Louisa",3,6
"7106","Louise",25,6
"7107","Louise (LuLu)",1,13
"7108","Louisette",1,9
"7109","Loula",1,5
"7110","LouLu",1,5
"7111","Loup",1,4
"7112","Louvre",1,6
"7113","Love Bug",1,8
"7114","Lovefoxx",1,8
"7115","Lovelina",1,8
"7116","Lover Boy",1,9
"7117","Loverboy",1,8
"7118","Lovey",4,5
"7119","Lovie",1,5
"7120","Lowe",1,4
"7121","Lowell Katz",1,11
"7122","Lox",1,3
"7123","Lox Johnson",1,11
"7124","Lt Cmdr Data",1,12
"7125","Lt. Dan (""Lou"")",1,15
"7126","Lu",2,2
"7127","Lu Lu",1,5
"7128","Lu Lu Louise",1,12
"7129","Lua",4,3
"7130","Lúa",1,3
"7131","Luana",1,5
"7132","Luba",1,4
"7133","Luc",2,3
"7134","Luca",24,4
"7135","Lucas",19,5
"7136","Lucca",17,5
"7137","Lucca Kruski",1,12
"7138","Lucci",1,5
"7139","Lucee",1,5
"7140","Lucha",1,5
"7141","Luchta",1,6
"7142","Luci",8,4
"7143","Luci Fur",1,8
"7144","Lucia",5,5
"7145","Lucian",1,6
"7146","Lucian Gray",1,11
"7147","Luciano",2,7
"7148","Lucie",9,5
"7149","Lucie Margarita",1,15
"7150","Lucien",1,6
"7151","Lucifer",5,7
"7152","Lucile",1,6
"7153","Lucilla",1,7
"7154","Lucille",11,7
"7155","Lucille Ball",1,12
"7156","Lucinda",3,7
"7157","Lucinda ""Luci"" Keelty",1,21
"7158","Lucinda Chang",1,13
"7159","Lucinda Emsley Collins",1,22
"7160","Lucio",2,5
"7161","Lucis",1,5
"7162","Lucita",1,6
"7163","Lucius",3,6
"7164","LUCIUS",1,6
"7165","Lucki",1,5
"7166","Luckie",1,6
"7167","Luckiee",1,7
"7168","Lucky",92,5
"7169","Lucky Joe",1,9
"7170","Lucky Lady",1,10
"7171","Lucky Pham",1,10
"7172","Lucky Princess Bagheera",1,23
"7173","Lucky Tran",1,10
"7174","Lucky West",1,10
"7175","Lucky(Bobby)",1,12
"7176","LuckyPuppy",1,10
"7177","Lucy",439,4
"7178","LUCY",1,4
"7179","Lucy B.",1,7
"7180","Lucy Beckham",1,12
"7181","Lucy Bee",1,8
"7182","Lucy Bell",1,9
"7183","Lucy Clare",1,10
"7184","Lucy Flory",1,10
"7185","Lucy Fur",1,8
"7186","Lucy Goose",1,10
"7187","Lucy Iverson",1,12
"7188","Lucy Latte",1,10
"7189","Lucy Leigh",1,10
"7190","Lucy Loo",1,8
"7191","Lucy Lord",1,9
"7192","Lucy Lu",2,7
"7193","Lucy Mae",1,8
"7194","Lucy Mulia",1,10
"7195","Lucy Puffball",1,13
"7196","Lucy Purpura",1,12
"7197","Lucy Sophia",1,11
"7198","Lucy Woletz",1,11
"7199","Lucy Wong",1,9
"7200","Lucy-fur",1,8
"7201","Lucy-Fur",1,8
"7202","Lucyfur",1,7
"7203","Ludie",1,5
"7204","Ludlow Sullivan",1,15
"7205","Ludo",5,4
"7206","Ludwig",2,6
"7207","Lue",1,3
"7208","Luella Avery McGovern",1,21
"7209","Luest",1,5
"7210","Luffy",2,5
"7211","Luffy La Hue",1,12
"7212","Lui",2,3
"7213","Luigi",22,5
"7214","Luii",1,4
"7215","Luis",2,4
"7216","Luisinha",1,8
"7217","Luka",14,4
"7218","Lukas",2,5
"7219","Luke",35,4
"7220","Luke Ink",1,8
"7221","Luke Skywalker",1,14
"7222","Lukie",1,5
"7223","Lukin Wonder",1,12
"7224","Lula",17,4
"7225","Lula Bell",1,9
"7226","Lula Belle",2,10
"7227","Lula Pham",1,9
"7228","Lulabelle",2,9
"7229","Lulla Bell",1,10
"7230","Lulu",111,4
"7231","LuLu",19,4
"7232","Lulu 2",1,6
"7233","Lulu B",1,6
"7234","Lulu Belle",1,10
"7235","Lulu Mulia",1,10
"7236","Lulu Walker",1,11
"7237","Lulubelle",1,9
"7238","LuluBelle",2,9
"7239","Luly",3,4
"7240","Luma",2,4
"7241","Lumi",3,4
"7242","Lumiere",2,7
"7243","Lummi",1,5
"7244","Lumpy",1,5
"7245","Lun",1,3
"7246","Luna",355,4
"7247","LUNA",2,4
"7248","Luna ""Bean"" Bear",1,16
"7249","Luna B",1,6
"7250","Luna Bear",1,9
"7251","Luna Belle",3,10
"7252","Luna Elizabeth",1,14
"7253","Luna Friend",1,11
"7254","Luna Kitty",1,10
"7255","Luna Lulu",1,9
"7256","Luna May",1,8
"7257","Luna Moonpie",1,12
"7258","Luna Nero",1,9
"7259","Luna Ren Beach",1,14
"7260","Luna Roo",1,8
"7261","Luna Rose",2,9
"7262","Luna Soto",1,9
"7263","Luna Steller",1,12
"7264","Luna Victoria McMoewingtons",1,27
"7265","LunaDia",1,7
"7266","Lunar",1,5
"7267","Lunchbox",3,8
"7268","Luomo",1,5
"7269","Lupa",3,4
"7270","Lupa Burdy",1,10
"7271","Lupe",10,4
"7272","Lupi",1,4
"7273","Lupin",8,5
"7274","Lupine",1,6
"7275","Lupita",1,6
"7276","Lupo",4,4
"7277","Lurleen",1,7
"7278","Lursa",1,5
"7279","Lusa",1,4
"7280","Lusso",1,5
"7281","Lute",1,4
"7282","Luther",5,6
"7283","Luthien",1,7
"7284","Luthor",1,6
"7285","LuuLuu",1,6
"7286","Luvee",1,5
"7287","Luvia",1,5
"7288","Lux",1,3
"7289","Luxa",1,4
"7290","Luxe",1,4
"7291","Luz",1,3
"7292","Lycan",1,5
"7293","Lydia",4,5
"7294","Lyla",11,4
"7295","Lynx",6,4
"7296","Lynyrd",1,6
"7297","Lyra",17,4
"7298","Lyric",2,5
"7299","M",2,1
"7300","M M",1,3
"7301","Maaike",1,6
"7302","Maang Maang",1,11
"7303","Maatkare",1,8
"7304","Mab",2,3
"7305","Mabel",36,5
"7306","Mabel Grace",1,11
"7307","Mabel Joy",1,9
"7308","Mabel Roo",1,9
"7309","Mabelline",1,9
"7310","Mabily",1,6
"7311","Mable",3,5
"7312","Mac",44,3
"7313","Mac Burtkenvitz",1,15
"7314","Mac Damian",1,10
"7315","Macadamia ""Mac"" Tov",1,19
"7316","Macalaster",1,10
"7317","Macallan",7,8
"7318","Macaroni",4,8
"7319","Macaroni Romeo Harris",1,21
"7320","Macaroon",1,8
"7321","Macavity",3,8
"7322","Macc",1,4
"7323","Macca",1,5
"7324","Macchia",1,7
"7325","Macchiato",1,9
"7326","Macchiatto",1,10
"7327","Macdaddy",1,8
"7328","MacDougal ""Doogie""",1,18
"7329","MacDuff III",1,11
"7330","Mace",1,4
"7331","Maceo",3,5
"7332","Macey",5,5
"7333","Macey Ujano",1,11
"7334","MacGyver",2,8
"7335","Machiavelli",1,11
"7336","Machismo",1,8
"7337","Machka",1,6
"7338","Macho",6,5
"7339","Maci",2,4
"7340","Macie",3,5
"7341","Macie Maynard",1,13
"7342","MacIntosh",1,9
"7343","MacIntosh Kelly",1,15
"7344","MacIntyre",1,9
"7345","Mack",13,4
"7346","Mack (Frankie)",1,14
"7347","Mack Maples",1,11
"7348","Macka",1,5
"7349","Mackay",1,6
"7350","Mackenzie",4,9
"7351","MacKenzie",1,9
"7352","Mackeral",1,8
"7353","Mackerel",1,8
"7354","Mackey",3,6
"7355","Mackie",3,6
"7356","Mackintosh",1,10
"7357","MacKintosh",1,10
"7358","Macklin",1,7
"7359","Maclund",1,7
"7360","Macon",1,5
"7361","Macready",1,8
"7362","Macs",2,4
"7363","Macy",19,4
"7364","Macy Adams",1,10
"7365","Macy Dixon",1,10
"7366","Macy Gray",2,9
"7367","Macy Grey",2,9
"7368","Madaline",1,8
"7369","Madam Mimzy",1,11
"7370","Madam X",1,7
"7371","Maddi",4,5
"7372","Maddie",69,6
"7373","Maddie Mae",1,10
"7374","Maddie Moo",1,10
"7375","Maddie Rose",1,11
"7376","Maddow",1,6
"7377","Maddox",1,6
"7378","Maddux",1,6
"7379","Maddy",25,5
"7380","Maddy Ann",1,9
"7381","Madee",1,5
"7382","Madeleine",3,9
"7383","Madeleine Rose",1,14
"7384","Madeline",16,8
"7385","Madelyn",1,7
"7386","Madge",1,5
"7387","Madi",1,4
"7388","Madiba",1,6
"7389","Madison",24,7
"7390","Madoc",1,5
